Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Salary
 Team Lead / Dev Lead,5 - 7 yrs, Eclipse/ Tomcat/ jQuery/ Selenium/ Computer science/ Core Java/ Open source/ OFBIZ/ ERP/ J2Ee,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,3472
 Andriod Developer,0 - 2 yrs, Android Development/ Java/ Android Studio/ API Testing/ API/ Troubleshooting,,"Mumbai,Mumbai Suburbs",Other,"Media, Entertainment, Internet",Other,6374
 Physics Teacher,4 - 6 yrs, Mentor/ Trainer/ Advisor/ Counselor/ Teaching,Subject Teachers (TGT/PGT),Mumbai,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher,5664
 Manager Sales &amp; Marketing,12 - 15 yrs, branding/ business development/ competitive intelligence/ Sales Management/ lead generation/ market research/ market analysis/ Marketing,Institutional Sales,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager,6661
 Design Engineer,2 - 7 yrs, Simulation/ Coding/ Physical design/ Automotive/ Networking/ System verilog/ FPGA/ Automation/ Wireless/ Aerospace,Engineering Design,Hyderabad,"Engineering Design , R&D","IT-Software, Software Services",Design Engineer,2555
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ,1 - 5 yrs, engineering/ hiring/ hr/ recruiter/ IT/ it recruitment/ insurance/ mass hiring/ volume hiring/ bfsi/ senior/ team leader/ non it/ bulk hiring/ head hunting/ recruitment/ it recruiter/ bpo/ leadership/ manufacturing/ tl/ technical hiring,HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,5520
 Associate,0 - 3 yrs, Associate,Accounts,Bengaluru,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant,2192
 Receptionist (Female),1 - 5 yrs, Receptionist/ Computer Operating/ Administration/ Front Office/ Front Desk/ Travel Arrangements,,Delhi,"Executive Assistant , Front Office , Data Entry","Banking, Financial Services, Broking",Receptionist,3410
 Senior .NET Developer,2 - 7 yrs, html/ javascript/ english/ jquery/ soa/ sql server/ proactive/ asp net c/ oop/ ajax,Programming & Design,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1670
 Sales Manager : School & Higher Academic Books,5 - 10 yrs, market research/ sales executive/ marketing executive/ sales strategy/ customer profiling/ distributors/ Sales/ Business Development,Corporate Sales,"Bengaluru,Hyderabad,Chennai,Mumbai","Sales , Retail , Business Development",Publishing,Sales/Business Development Manager,6923
 Supply Chain - Import Export Executive,1 - 2 yrs, Export Import Logistics/ Environmental Management System/ Impex/ Warehouse Management System/ QMS,Logistics,Chennai,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Executive,1838
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi,2 - 7 yrs, Web Services/ SOAP/ Json/ J2EE/ MVC/ jQuery/ ADFS/ Advanced Java/ Java Api/ Spring/ Open Source/ Java/ Hibernate/ core java/ SOA/ REST/ LDAP/ spring integration/ Cloud/ Javascript/ Java Web Services,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2257
 Hiring for Spring Boot Developer-noida,2 - 3 yrs, spring mvc/ spring security/ spring boot,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4379
 Dynamic CRM Architect,8 - 12 yrs, Dynamics CRM/ Solution Management/ Visual Studio/ .NET development/ microservices/ Root Cause/ .Net/ Microsoft Dynamics/ Azure,Programming & Design,Bengaluru,"IT Software - ERP , CRM","IT-Software, Software Services",Technical Architect,2417
 SE / SSE - DATA,3 - 8 yrs,,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer,5800
 Hiring for Accounts Manager (business Development)- Radio In,2 - 6 yrs, Business Development Management/ Interpersonal Communication/ Accounting/ Marketing Strategy/ Strategic Thinking/ Account Management/ Advertising/ Promotions/ Team Leading/ Sales,Retail Sales,Mumbai,"Sales , Retail , Business Development","Media, Entertainment, Internet",Sales/Business Development Manager,5115
Urgent Openings for O2C, 0 - 2 Years,Credit Management/Order Management/Communication Skills/O2C/OTC,Accounts, Gurgaon,"Accounts , Finance , Tax , Company Secretary , Audit",Accounting / Finance,Accounts Executive/Accountant,2662
 ARCHITECTURAL CAD,2 - 7 yrs, preparation/ cad/ m e p/ visualization/ drafting/ drawings/ design development/ modeling/ quality,Architectural Services,Kolkata,"Architecture , Interior Design","Construction, Engineering, Cement, Metals",Architect,3895
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division",5 - 10 yrs, synthesis/ Physical design/ primetime/ vlsi/ floor planning/ timing closure/ floorplan/ pnr/ sta,Engineering Design,"Bengaluru,Chennai,Hyderabad,Greater Noida","Engineering Design , R&D","Semiconductors, Electronics",Senior Design Engineer,3684
 Assistant Manager Purchase,10 - 12 yrs, Assistant Manager Purchase,Purchase/Material Management,"Gurgaon,Manesar","Supply Chain , Logistics , Purchase , Materials","Electricals, Switchgears",Purchase Executive,2207
 Sr. Cloud Developer,5 - 8 yrs, Programming/ Solution architecture/ Analytical/ SQL/ Machine learning/ Analytics/ Python/ Data warehousing/ Cosmos/ SCALA,Programming & Design,"Mumbai,Indore,Pune","IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,6355
 Hiring for Manager Quality ( Voice and Chat),3 - 6 yrs, Quality manager/ manager Quality/ Transactional Quality/ Quality Management/ BPO,Quality,Delhi NCR,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Quality Assurance/Quality Control Manager,5672
" South Indian Cook,",2 - 5 yrs,,Senior Management,Bengaluru,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Executive/Master Chef,3668
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai,7 - 12 yrs, business development/ api/ intermediates/ sales/ pharma chemicals,Corporate Sales,Mumbai,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager,4098
 Java- Technical Lead- Tavant Technologies - Hyderabad,5 - 9 yrs, Team Leader/ Design Patterns/ Web Services/ Cloud/ Hibernate/ core java/ Spring Boot/ Microservices,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,6454
 Walk in For Pharmacist @ 1mg Technologies || Gurugram Sec 14,2 - 7 yrs, pharmacy/ hospital/ pharma,R&D,Gurgaon,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Pharmacist/Chemist/Bio Chemist,2070
" Agency Manager || Life Insurance ||ahmedabad , Bhopal , Vadodara",2 - 7 yrs, life advisor/ insurance sales/ Direct sales/ agency sales/ life insurance advisor/ agency/ channel sales/ Sales/ life insurance,Retail Sales,"Bhopal,Ahmedabad,Vadodara","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager,5105
 HR Trainer,2 - 5 yrs, Accent/ Process Compliance/ Coaching/ Feedback/ Soft Skills/ Customer Service/ Training Needs/ HR,Teachers,Bengaluru,"Teaching , Education , Training , Counselling","BPO, Call Centre, ITeS",Technical / Process Trainer,6205
 Project Manager For Civil Work,10 - 20 yrs, Project Management/ Interpersonal Communication/ Project Coordinator/ site coordinator/ Communication Skills/ Real Estate Construction/ Project Manager,Production/Manufacturing/Maintenance,Ahmedabad (Ellisbridge) ,"Production , Manufacturing , Maintenance","Real Estate, Property",Project Manager-Production/Manufacturing/Maintenance,2387
 Vacancy For Motion Graphic Artist,5 - 7 yrs, Adobe After Effects/ Graphic Designing/ Multimedia/ Photoshop/ Infographics/ Social Media/ Graphics/ English Language/ Visualization/ Protools,,Pune,Other,"IT-Software, Software Services",Other,6180
 Business Associate,0 - 3 yrs, wipro/ cse/ communication skills/ tele caller/ international bpo/ Fresher/ b.a/ voice based process/ Ba/ bba/ accenture/ exl/ bbm/ wns/ tcs/ customer support/ bcom/ process developer/ Blended Process/ Chat Process/ Sales,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics",Associate/Senior Associate -(NonTechnical),1988
 Project Support Officer/Administrator,1 - 5 yrs, project support/ Banking/ Maya/ E-commerce/ big data,Technical Support,Chennai,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Customer Support Engineer/Technician,5330
 Procurement - MDM,2 - 7 yrs, Vendor/ Procurement/ data services/ IT services/ Consulting/ Business Executive/ Master data management/ Automation/ Business process/ Troubleshooting,Purchase/Material Management,Gurgaon,Purchase / Logistics / Supply Chain,"IT-Software, Software Services",Purchase/Vendor Development Manager,6851
 If You're an Experienced in International Tech Sales Then Call Us / In,1 - 4 yrs, International BPO/ Inbound calls/ English/ Technical support/ Domestic BPO/ Comp/ Recruitment/ Outbound/ Email/ Troubleshooting,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),6184
 Senior Game Artist,3 - 8 yrs, Software design/ Fine arts/ Photoshop/ Supervision/ User interface designing/ game development/ Relationship Executive/ Illustrator/ creative content/ Business Executive,Programming & Design,Mumbai,IT Software - Telecom Software,"Animation, Gaming",Graphic/Web Designer,4353
 Manager (PR),5 - 8 yrs, marketing/ project management/ PR/ project planning,Voice,Noida,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),6753
 Senior Engineer Project,2 - 5 yrs, Software development life cycle/ Management/ Leadership training,Project Management,"Manesar,Gurgaon,haryana","Site Engineering , Project Management","IT-Software, Software Services",Project Manager-IT/Software,3887
 PERL Developer,6 - 8 yrs, PMP/ Oracle/ Six Sigma/ Real Time Operating Systems/ JavaScript/ SQL/ .NET/ Python/ HTML/ assembly language,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer,6509
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta",12 - 16 yrs, redhat/ apache camel/ Technical Support/ Activemq/ Administration,System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Subject Matter Expert,6571
 Wire Industry,3 - 7 yrs, sales strategy/ market research/ sales executive/ marketing executive/ distributors/ customer profiling/ Business Development,Corporate Sales,"Gurgaon,Mumbai,Pune,Cuttack,Chennai,Kanpur,Kolkata,Raipur","Sales , Retail , Business Development","Recruitment, Staffing",Branch Manager/Regional Manager,5838
 Manager Brand Marketing,4 - 7 yrs, Operations/ Brand management/ Brand marketing/ customer segmentation/ Recruitment/ Performance appraisal/ Marketing strategy/ Consumer insights/ Promotional strategies/ Strategic partnerships,Marketing,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Product/Brand Manager,2257
 Oracle Fusion Apps_manufacturing_any Location,6 - 11 yrs, Manufacturing/ Marine Operation/ Inventory/ Oracle Fusion/ Negotiation,System Design/Implementation/ERP/CRM,"Bengaluru,Pune","IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant,6517
 VP / Sr.vp Fire,17 - 27 yrs, Senior Management/ fire/ Fire Safety,Safety/Health/Environment,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Safety Officer/Manager,5622
 Data Science Engineer,5 - 10 yrs, Linux/ data science/ SQL/ Perl/ HTML/ Unix/ SAS/ Android/ SDLC/ Python,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer,2638
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi,1 - 2 yrs, Hardware/ printer/ Laserjet/ printer support/ dot matrix,Technical Support,Navi Mumbai,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Customer Support Engineer/Technician,2111
 When you need a Roof you need a job. Come work with us,3 - 8 yrs, Antivirus/ Technical support/ Medical/ Technical Support Associate/ Email/ Comp/ Outbound/ US shift/ Technical/ Troubleshooting,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),6408
 Senior Data Analyst,2 - 7 yrs, Reporting/ Business Analytics/ Data Analysis/ kpo/ Data Analytics,Analytics & BI,"Mohali,Chandigarh",Analytics & Business Intelligence,"KPO, Research, Analytics",Data Analyst,2867
" Java / J2EE, Web Services also experienced in AngularJS",2 - 6 yrs, Ajax/ developing/ application architecture/ applications/ application/ jQuery/ HTML/ technical/ design/ SDLC/ architecture/ JSON/ Web services/ java/ XML/ web/ javascript/ Prototype/ rest/ Web designing,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6050
 Senior US IT Recruiter / Senior US Recruiter,1 - 5 yrs, us it staffing/ us staffing/ us recruitment/ us technical recruiter/ us it recruitment/ us it recruiter,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,2793
 Service Engineer - Bhiwadi,1 - 6 yrs, Preventive Maintenance/ shutdown/ breakdown/ troubleshooting/ breakdown maintenance/ amc/ repair/ Electrical Engineer/ maintenance/ field service engineer/ Field Engineer/ installation/ service engineering,Production/Manufacturing/Maintenance,"Delhi NCR,Bhiwadi","Production , Manufacturing , Maintenance","Printing, Packaging",Service/Maintenance Engineer,1792
 Sales Manager,4 - 9 yrs, service sales/ b2b marketing/ relationship building/ enterprise sales/ consultative sales/ Corporate Sales/ Key Accounts Manager/ new business/ marketing management/ cross selling/ sales strategy/ B2B Sales/ product marketing,Institutional Sales,Chennai,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager,4726
 Accounts Executive For 1-2 Years Experience,1 - 2 yrs, accounts executive/ Accounting/ finance/ accounts,Accounts,Noida,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Accounts Executive/Accountant,2026
 Inbound Tour Manager,2 - 7 yrs, tickets/ selling/ packages/ experience/ good communication skills/ costing/ manager/ inbound/ tour/ good communication,Ticketing/Travel/Documentation,Noida,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Tour Management Manager/Senior Manager,3387
 Swimming Pool Technician,1 - 3 yrs, Technician Activities/ Monthly Reports/ Water Quality/ Maintenance,Site Engineering,Bengaluru,"Site Engineering , Project Management",Other,Maintenance Engineer,4718
 Associate Vice President - Talent Acquisition - Campus Hiring Program,12 - 18 yrs, Talent Acquisition/ recruitment/ Recruitment/ HR/ Campus Hiring/ recruiting,Senior Management,Bengaluru,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-Recruitment,5757
 Governance & Performance-Performance Management-Professors,7 - 10 yrs, Mentor/ Trainer/ Advisor/ Counselor/ Teaching,University Level,Hyderabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,1816
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)",6 - 11 yrs, interior designers/ Area Management/ contractors/ territory management/ Sales Management/ Sales Operations/ distributor/ dealer/ Architects/ Developers/ Sales Manager/ Area/ project sales/ consultants,Retail Sales,"Delhi NCR,Kolkata,Chandigarh","Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,5104
 Operations - SME / Retail,12 - 15 yrs, Operations/ market research/ sales executive/ marketing executive/ Business Development/ distributors/ sales strategy/ customer profiling/ SME/ Retail,Senior Management,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,6944
 Assistant Manager - HR Operations,4 - 6 yrs,,HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,2647
 Sr. Sales / Sales Executive,2 - 4 yrs, Corporate Sales/ assistant sales manager/ Hotel Sales/ Sales Executive/ Room Sales/ Manager Sales/ MICE/ Sales Manager/ senior sales officer/ Senior Sales Executive/ Travel Agent,Retail Sales,Delhi NCR (Sunder Nagar) ,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Sales Executive/Officer,3929
 Senior Business Analyst - Sql/python,3 - 5 yrs, business analysis/ oracle sql/ data analysis/ advanced excel/ data mining/ vba/ python/ macros/ google analytics/ business analyst,System Design/Implementation/ERP/CRM,Delhi,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Business Analyst,2973
" .NET Developer (asp.net, MVC, C#)",2 - 5 yrs, JQuery/ Web Application/ MS SQL Server/ Ajax/ CSS/ MVC/ ASP.Net MVC/ Javascript/ Asp Net/ .Net/ XML/ C#,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6630
 Sr. Business Analyst,2 - 5 yrs, PL/ Flex/ Tomcat/ Java/ Oracle/ Weblogic/ SQL/ UNIX/ HTML/ OOPS/ XML/ Eclipse/ DB2,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Business Analyst,1817
 CNC Machine Operator,2 - 3 yrs, cnc maintenance/ cnc programming/ cnc/ cnc operator,Production/Manufacturing/Maintenance,"Ahmedabad,Gandhinagar","Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Factory Head,6034
 Executive,5 - 10 yrs, Senior Executive/ Medical Representative,Architectural Services,Ahmedabad,"Architecture , Interior Design","Pharma, Biotech, Clinical Research",Architect,4555
 Presales Manager - Networking,3 - 8 yrs, solution consultant/ Presales/ Technology Consultant/ solution architect/ Sales Engineer,,Mumbai,Other,IT-Hardware & Networking,Other,6026
 Inside Sales Executive,3 - 5 yrs, Follow Ups/ Cold Calling/ Convincing Power/ Customer Service/ Proposal Writing/ Lead Generation/ Communication Skills/ Inside Sales/ New Business/ Sales Executive Activities,Corporate Sales,"Delhi NCR,Bengaluru","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,5338
 Customer Care Executive,0 - 1 yrs, Customer Care Officer/ International BPO/ Customer Care Executive/ Domestic BPO/ Customer Care/ Night Shift/ Inbound Process/ BPO,Other,Delhi NCR,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher,4752
 HR - Talent scout specialist,2 - 4 yrs, Testing/ Performance management/ Continuous improvement/ Analytical/ Design development/ Sales support/ Recruitment/ Conceptualization/ HR,Senior Management,Thane,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-HR,3948
 Sr. Sales Manager,8 - 10 yrs, enterprise mobility/ Market intelligence/ Middleware/ Sales process/ microsoft/ Application development/ Bfsi/ Tools/ Service delivery/ Business Executive,Retail Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,3816
 Laundry Executive,1 - 3 yrs, laundry,Housekeeping,Mumbai,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Housekeeping Executive/Assistant.,1950
 Accounts executive,2 - 7 yrs, Accounting/ business opportunity/ Invoice processing/ Financial statements/ TDS/ Analytical/ Tally ERP/ Recruitment/ Accounts receivable/ Interpersonal skills,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,3634
 MBA HR - Experience,5 - 10 yrs, Reports/ Succession Planning/ HR Policies/ Talent Acquisition/ Human Resources/ Recruitment/ Talent Management/ MIS/ ERP,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,4379
 System Analyst,2 - 3 yrs, Web technologies/ JSON/ T-SQL/ Scripting/ Data structures/ data manipulation/ MIS/ XML/ System Analyst,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",System Analyst,3638
 Account Assistance,2 - 3 yrs, Accounts/ Credit Officers/ Accounting/ Risk Management/ Tax/ Internal audit/ Audit/ Finance,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant,6372
 Senior Embedded Engineer,3 - 5 yrs, gps/ product development/ troubleshooting/ spi/ gsm/ ethernet/ lcd/ development/ embedded/ optimization,Programming & Design,Ahmedabad,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Team Lead/Technical Lead,4199
 Java Developer,4 - 8 yrs, Spring Boot/ Web Services/ Microservices/ Java,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3145
 Sr. Software Engineer Android/Hybrid,3 - 5 yrs, JSON/ Coding/ jQuery/ SQLite/ Graphics/ SQL/ Android/ Test cases/ System testing/ UML,Programming & Design,Hyderabad,IT Software - System Programming,"IT-Software, Software Services",Software Developer,4535
 Principal Engineer-Piping,15 - 18 yrs, Food processing/ thermal/ Instrumentation/ CAD/ Project delivery/ Conceptualization/ HVAC/ Autodesk/ Project management/ Architecture,Engineering Design,Mumbai,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Technical Lead/Project Lead,2691
 Business Analyst - Structured Finance,1 - 4 yrs, business analysis/ investment banking/ bonds/ advanced excel/ financial modelling/ equity research/ fixed income/ valuation/ structured products/ structured finance/ bloomberg/ dcf/ electronic trading/ hedge fund,System Design/Implementation/ERP/CRM,Gurgaon,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst,5537
Solution Architecting, 8 - 12 Years,Product management/Prototype/Analytical skills/software architecture/Resource management/Business analysis/Outsourcing/Operations/Manager Technology/Solution architecting,Programming & Design, Gurgaon,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Technical Architect,6851
 Sales / Business Development,15 - 20 yrs, Real estate sales/ Office automation/ Flex/ management/ Executive search/ Hospitality/ Residential sales/ Bfsi/ Sales Head/ Sales strategy,Senior Management,"Bengaluru,Chennai","Sales , Retail , Business Development","Recruitment, Staffing",Head/VP/GM/National Manager -Sales,4064
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)",0 - 2 yrs, nursing/ pharmacy/ life sciences/ microbiology/ medical coder/ medical coding/ biotechnology/ biomedical,Medical Professional,"Chennai Vellore,Salem Erode,Madurai Trichy","Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern,4373
 Consultant,12 - 16 yrs, Service/ change/ Com/ level/ Entry level/ Email/ Billing/ Application support/ CRM/ SAP IS-Utilities,System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Outside Technical Consultant,4683
 Network & Security Architect- Pune,8 - 13 yrs, Network,,Pune,Other,"IT-Software, Software Services",Other,1834
 Business Development Manager,1 - 3 yrs, Action plan/ RFQ/ RF/ Software sales/ RFP/ CRM/ Business planning/ ERP/ B2B Sales/ Relationship,Corporate Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,5681
 Assistant Vice President - Stock Broking - Delhi,3 - 8 yrs, Equity/ Currency/ Commodities/ Business Generation/ New Client Acquisition/ sales/ Mutual Funds/ Stock Broking/ Team Management/ team handling/ Channel Distribution,Senior Management,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Head/VP/GM/National Manager -Sales,3935
 Production Manager in Press Shop & Projection Welding,10 - 15 yrs, sheetmetal/ pressing/ Press Shop/ Production Management/ Weld Shop,Production/Manufacturing/Maintenance,Greater Noida,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Production Manager,4859
 salesfoce Developer +3Years / Mumbai,3 - 8 yrs, sfdc developer/ Salesforce/ Salesforce Developer,Programming & Design,"Mumbai,Pune","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4106
 Social Media Executive,0 - 1 yrs, Twitter/ seo/ website/ facebook/ online/ internet/ search engine optimisation,Online/Digital Marketing,Hyderabad,"Marketing , Advertising , MR , PR , Media Planning","Media, Entertainment, Internet",Social Media Marketing Manager,5029
 Business Advisor,0 - 3 yrs,,Institutional Sales,Kolkata,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Sales Executive/Officer,4045
" IT Recruiter, Technical Recruiter",0 - 4 yrs, screening/ it recruitment/ hiring/ head hunting/ Recruitment Executive/ recruitment/ sourcing/ staffing/ technical recruitment/ talent acquisition/ recruitment consultant/ excel powerpoint,HR/ Recruitment / IR,Noida,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive,1702
 SAP PLM Consultant - SAP MM Module,10 - 15 yrs, SAP PLM/ SAP EHS/ SAP MM,Other,Hyderabad,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Consultant,5553
 Marketing Manager - Activation - Iit/nit,2 - 5 yrs, Marketing/ Event Management/ Brand Management,Marketing,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager,6366
 Hiring .Net Developers for Hyderabad Location,3 - 6 yrs, MVC/ asp.net/ ado.net,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5419
 Senior BI Cognos Developer,7 - 12 yrs, Oracle/ DBMSTools/ Automotive/ Cognos/ metadata/ SQL/ Supply chain/ Business intelligence,Programming & Design,Mumbai,"IT Software - DBA , Datawarehousing","Recruitment, Staffing",Software Developer,4428
 Senior Drupal Developer,5 - 10 yrs, Procurement/ Front end/ Monitoring/ Backend/ Linux/ Consulting/ Django/ MySQL/ Python/ Drupal,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2905
 Pre Sales Executive,2 - 4 yrs, Sales Executive Activities/ Real Estate Sales/ Residential Sales/ Presales,Pre Sales,Pune,"Sales , Retail , Business Development","Real Estate, Property",Pre Sales Consultant,4474
 Head - Sales &amp; Strategy (telematics),7 - 12 yrs, commercial vehicle/ b2b sales/ kam/ enterprises sales/ sales strategy/ team management,Senior Management,Gurgaon,"Sales , Retail , Business Development","Internet, Ecommerce",Head/VP/GM/National Manager -Sales,4304
 Content Writer Required for a Monthly Magazine,1 - 3 yrs, Mass Communication/ editor/ Content Editor/ Copywriter/ Sub Editor/ Social Media/ Associate Editor/ Journalism/ English Writing/ Research/ Articles/ Article Writing/ content writer/ proof reading/ Editing,Content Development,"Delhi NCR,Ghaziabad,Noida","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,3726
 Sales Engineers,1 - 2 yrs, eee/ selling/ sales marketing/ travel/ hardware/ interpersonal skills/ marketing management/ set,Retail Sales,Chennai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,3037
 Senior Laravel Developer,3 - 5 yrs, Flex/ JSON/ Ajax/ Wordpress/ CMS/ PHP/ MySQL/ Javascript/ HTML/ Joomla,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4403
 Hub-Incharge Bangalore,2 - 3 yrs, Help Desk/ Vendor Management/ access controls/ Customer Service/ Asset Management/ customer relationship,Logistics,Bengaluru,Purchase / Logistics / Supply Chain,"Recruitment, Staffing",Logistics Manager,6376
" QA - Associate , - Business - Operations - DM",3 - 5 yrs, GDB/ Operations/ Fixed income/ Data quality/ HTTP/ QA/ Python/ Data management,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Software Developer,2065
 Staff Nurse,2 - 5 yrs, Medical / patient care/ Nurse/ Nursing/ NICU,Medical Professional,Gurgaon,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Nurse,1624
